city,tier,label,sublabel,base_sar_per_night,jan_sar,feb_sar,mar_sar,apr_sar,may_sar,jun_sar,jul_sar,aug_sar,sep_sar,oct_sar,nov_sar,dec_sar
MADINAH,STANDARD,Emaar Group,OTA approval draft - standard Madinah group,250,290,450,500,300,250,250,260,260,250,250,250,290
MADINAH,STANDARD,Peninsula Worth,OTA approval draft - standard Madinah,250,290,450,500,300,250,250,260,260,250,250,250,290
MADINAH,PREMIUM,Pullman Zam Zam,OTA approval draft - premium near Nabawi,650,810,1430,1620,910,650,650,720,720,650,650,650,810
MADINAH,STANDARD,New Madinah,OTA approval draft - standard Madinah,250,290,450,500,300,250,250,260,260,250,250,250,290
MADINAH,STANDARD,Mokhtara Diamond Al Masi,OTA approval draft - standard Madinah,250,290,450,500,300,250,250,260,260,250,250,250,290
MADINAH,STANDARD,Grand Zowar,OTA approval draft - standard Madinah,250,290,450,500,300,250,250,260,260,250,250,250,290
MADINAH,STANDARD,Zowar al Alami,OTA approval draft - standard Madinah,250,290,450,500,300,250,250,260,260,250,250,250,290
MADINAH,PELATARAN,SAJA,OTA approval draft - closer Madinah option,450,540,900,990,580,450,450,500,500,450,450,450,540
MADINAH,STANDARD,Al Mokhtara al Gharbi,OTA approval draft - standard Madinah,250,290,450,500,300,250,250,260,260,250,250,250,290
MADINAH,STANDARD,Diyafa al Mukhtara,OTA approval draft - standard Madinah,250,290,450,500,300,250,250,260,260,250,250,250,290
MADINAH,STANDARD,Madinah Deluxe Aram,OTA approval draft - standard Madinah,250,290,450,500,300,250,250,260,260,250,250,250,290
MADINAH,STANDARD,Artal Taiba,OTA approval draft - standard Madinah,250,290,450,500,300,250,250,260,260,250,250,250,290
MADINAH,PREMIUM,Madinah Hilton,OTA approval draft - premium near Nabawi,650,810,1430,1620,910,650,650,720,720,650,650,650,810
MADINAH,STANDARD,Astoneast Taiba,OTA approval draft - standard Madinah,250,290,450,500,300,250,250,260,260,250,250,250,290
MADINAH,PELATARAN,Saja al Madinah,OTA approval draft - closer Madinah option,450,540,900,990,580,450,450,500,500,450,450,450,540
MADINAH,ECONOMY,ODEST,OTA approval draft - economy Madinah,150,160,240,270,170,150,150,160,160,150,150,150,160
MADINAH,STANDARD,Ajyal al Madina,OTA approval draft - standard Madinah,250,290,450,500,300,250,250,260,260,250,250,250,290
MADINAH,PELATARAN,Bosphorus,OTA approval draft - closer Madinah option,450,540,900,990,580,450,450,500,500,450,450,450,540
MADINAH,PREMIUM,Dallah Taiba,OTA approval draft - premium Madinah 4 star near Nabawi,650,810,1430,1620,910,650,650,720,720,650,650,650,810
MADINAH,PELATARAN,Golden Tulip,OTA approval draft - upper midscale Madinah,450,540,900,990,580,450,450,500,500,450,450,450,540
MADINAH,PELATARAN,Tulip in Daar,OTA approval draft - upper midscale Madinah,450,540,900,990,580,450,450,500,500,450,450,450,540
MADINAH,PREMIUM,Maden Taiba,OTA approval draft - premium near Nabawi,650,810,1430,1620,910,650,650,720,720,650,650,650,810
